
Loaded 700 winning trades across the last 30 days
Found 116 unique winning traders


🏆 MOST CONSISTENT WINNERS (last 30 days)

  #   Name                    Wins    Total $     ROI  Profile
  ----------------------------------------------------------------------
  14  Swift-Surface          $236,239.36    14 $16,874.24  https://polymarket.com/profile/0x21b864b4a635136409bc4f499d470bb912fab2f1
  15  Torn-Secretary         $205,185.09     3 $68,395.03  https://polymarket.com/profile/0x9065ef8280738e0feb105f54137c7071f07fb9a3
  16  Impartial-Pennant      $202,057.83     3 $67,352.61  https://polymarket.com/profile/0xfca3c147d2e7027d351c8c4536e8f01f368593ea
  17  Upbeat-Fee             $191,693.18     7 $27,384.74  https://polymarket.com/profile/0xf1faf3f6ad1e0264d6cbecc1a416e7c536be047d
  18  Focused-Marshmallow    $173,559.82     7 $24,794.26  https://polymarket.com/profile/0xed3c91115e83eaad1132dcb6edaa185f21ae017b
  19  Wary-Tragedy           $170,455.13    25 $6,818.21  https://polymarket.com/profile/0xc4c3c42ba5460c8d1309aed95e703f0420db2e3f
  20  Ancient-Android        $141,757.77     7 $20,251.11  https://polymarket.com/profile/0xb846800eb25279462d402541f9a29f0712de034d
  21  Limping-Shape          $132,874.00     7 $18,982.00  https://polymarket.com/profile/0x81035115a389a085e36255e5cb9b9ab8ee3723a1
  22  Discrete-Senate        $126,541.80     9 $14,060.20  https://polymarket.com/profile/0x713b141cd18376bd78c77e12305d45a0001dc916
  23  Rewarding-Placebo      $114,327.68     2 $57,163.84  https://polymarket.com/profile/0x2dbe7c1e520386c303ee4da03c89c64388ee6351
  24  Marvelous-Princess     $106,331.26     7 $15,190.18  https://polymarket.com/profile/0x4594250ae36fb600a9b4d6f2a21412e8de85b446
  25  0x510881deb8...        $105,654.71    14 $7,546.76  https://polymarket.com/profile/0x510881deb8cf9da419ca9f74dd8d066e702d83b4
  26  Majestic-Shorts        $100,888.48     7 $14,412.64  https://polymarket.com/profile/0x690b047e69f139d3acd9a985ab582df1f1cc9145
  27  Moral-Psychoanalyst    $94,910.00     5 $18,982.00  https://polymarket.com/profile/0xbe44d545b93a9e5e163f52192c4a705eeaf1d6e5
  28  Sugary-Information     $84,274.54     2 $42,137.27  https://polymarket.com/profile/0xb78549796d907d85208f97b70dbb0301b4b1b54a
  29  Soulful-Daily          $83,860.05     4 $20,965.01  https://polymarket.com/profile/0x4e5c2d65703d9f4c155c716774ebcc181cf5d892
  30  Lumbering-Material     $79,273.92    33 $2,402.24  https://polymarket.com/profile/0x1c0f3e4c90a48e4dd93d0abcdf719a5a5f1599d0


⏱️  BEST TIMING — entered earliest (last 30 days, min 2 wins)

  #   Name                    Avg entry  Wins    Total $  Profile
  ----------------------------------------------------------------------
  1   0x113b44e9eb...              0.1%     7 $1,528,541.91  https://polymarket.com/profile/0x113b44e9eb584b34fd5e3dc61bf5b765ccba3048
  2   Limp-Hospice                 0.1%     5 $1,180,478.50  https://polymarket.com/profile/0xfd9d411fa27f295d36c5ada080ba1349f716bc2e
